Age,Gender,Education,Occupation,ExerciseFreq,WearableDuration,WearableUseFreq,TrackingFreq,RoutineImpact,Has the fitness wearable helped you stay motivated to exercise?,Do you think that the fitness wearable has made exercising more enjoyable?,Engagement,CommunityConnection,GoalImpact,HealthImpact,SleepImpact,WellbeingImpact,InfluenceExercise,InfluencePurchase,InfluenceGym,InfluenceDiet
35-44,Female,Doctorate or professional degree,Self-employed,5 or more times a week,More than 2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree
18-24,Female,Bachelor's degree,Self-employed,1-2 times a week,Less than 6 months,3-4 times a week,Every day,Positively impacted my fitness routine,Strongly agree,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree
25-34,Female,High school diploma,Employed part-time,Less than once a week,6-12 months,3-4 times a week,Once a month,Positively impacted my fitness routine,Strongly agree,Strongly agree,Neutral,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree
45-54,Prefer not to say,Master's degree,Unemployed,3-4 times a week,6-12 months,1-2 times a week,Once a week,Negatively impacted my fitness routine,Strongly disagree,Disagree,Not very engaged,Neutral,No impact on achieving my goals,I don't know,Disagree,Disagree,Neutral,Agree,Agree,Neutral
55-64,Prefer not to say,Doctorate or professional degree,Retired,5 or more times a week,6-12 months,3-4 times a week,Every other day,Positively impacted my fitness routine,Strongly agree,Neutral,Somewhat engaged,Neutral,Helped me achieve my goals somewhat more quickly,No impact on my overall health,Neutral,Agree,Strongly agree,Agree,Agree,Strongly agree
45-54,Female,Bachelor's degree,Self-employed,Less than once a week,Less than 6 months,3-4 times a week,Every other day,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,No impact on my overall health,Neutral,Agree,Agree,Agree,Agree,Agree
25-34,Female,Some college or associate degree,Unemployed,3-4 times a week,Less than 6 months,3-4 times a week,Once a week,Positively impacted my fitness routine,Strongly agree,Strongly agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree
25-34,Male,Some college or associate degree,Self-employed,1-2 times a week,6-12 months,1-2 times a week,Once a week,Positively impacted my fitness routine,Strongly agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health somewhat,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree
25-34,Female,Doctorate or professional degree,Self-employed,3-4 times a week,1-2 years,3-4 times a week,Every other day,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Agree,Agree,Neutral,Strongly agree,Agree
55-64,Female,Doctorate or professional degree,Retired,1-2 times a week,Less than 6 months,1-2 times a week,Once a week,I don't know,Neutral,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Neutral,Neutral,Agree,Neutral,Neutral,Agree
Under 18,Male,High school diploma,Student,3-4 times a week,6-12 months,3-4 times a week,Every other day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Somewhat engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
35-44,Male,Master's degree,Employed full-time,Less than once a week,Less than 6 months,Rarely,Rarely,I don't know,Neutral,Neutral,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
25-34,Female,Master's degree,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Once a week,Positively impacted my fitness routine,Agree,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Agree,Agree,Agree
45-54,Female,Doctorate or professional degree,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Once a month,Positively impacted my fitness routine,Agree,Strongly agree,Somewhat engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health significantly,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
18-24,Male,Bachelor's degree,Employed full-time,3-4 times a week,1-2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
Under 18,Female,Master's degree,Employed part-time,3-4 times a week,6-12 months,1-2 times a week,Once a week,Positively impacted my fitness routine,Agree,Agree,Neutral,Neutral,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
35-44,Female,Doctorate or professional degree,Self-employed,3-4 times a week,6-12 months,3-4 times a week,Every other day,I don't know,Neutral,Neutral,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,I don't know,Agree,Neutral,Agree,Neutral,Agree,Strongly agree
Under 18,Male,High school diploma,Student,5 or more times a week,More than 2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
18-24,Male,Less than high school,Employed full-time,1-2 times a week,Less than 6 months,Rarely,Every day,Positively impacted my fitness routine,Agree,Agree,Neutral,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Agree,Agree,Agree
Under 18,Male,High school diploma,Student,1-2 times a week,1-2 years,1-2 times a week,Every other day,Positively impacted my fitness routine,Agree,Strongly agree,Very engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree
